category_id	pos	concept_id	concept_ru	concept_en	definition_ru	definition_en
A11	NOUN	1434	пешеход	pedestrian	человек, идущий пешком	a person travelling on foot
A21	NOUN	55	пространство озера (вдали от берегов)	Lake area (away from the coast)	открытое водное пространство озера вдали от берегов	the open water area of a lake, away from the shores
A322	NOUN	114	осина	aspen	лиственное дерево из рода тополь семейства ивовых (Populus tremula)	a deciduous tree of the willow family belonging to the poplar genus (Populus tremula)
A322	NOUN	115	липа	linden	лиственное дерево семейства мальвовых с сердцевидными листьями (Tilia)	a deciduous tree of the family Malvaceae with heart-shaped leaves (Tilia)
A322	NOUN	116	клен	maple	лиственное дерево или кустарник рода Acer с характерными дольчатыми листьями	a deciduous tree or shrub of the genus Acer with characteristic lobed leaves
A322	NOUN	117	ива	willow	дерево или кустарник семейства ивовых (Salix) с гибкими ветвями	a tree or shrub of the family Salicaceae (Salix) with flexible branches
A322	NOUN	118	рябина	mountain ash, rowan	дерево или кустарник семейства розовых (Sorbus aucuparia) с перистыми листьями и красными ягодами	a tree or shrub of the rose family (Sorbus aucuparia) with pinnate leaves and red berries
A322	NOUN	119	черемуха	A cherry tree, Prunus padus	дерево семейства розовых (Prunus padus) с белыми душистыми цветами и мелкими чёрными плодами	a tree of the rose family (Prunus padus) with fragrant white flowers and small black fruits
A322	NOUN	120	ольха	alder	дерево или кустарник семейства берёзовых (Alnus), растущее обычно по берегам водоёмов	a tree or shrub of the birch family (Alnus), typically growing along watercourses
A323	NOUN	121	можжевельник	juniper	хвойный кустарник или дерево семейства кипарисовых (Juniperus) с шишкоягодами	a coniferous shrub or tree of the cypress family (Juniperus) bearing berry-like cones
A323	NOUN	122	малина	raspberry	кустарник семейства розовых (Rubus idaeus) с красными или жёлтыми ягодами	a shrub of the rose family (Rubus idaeus) bearing red or yellow berries
A323	NOUN	123	красная смородина	redcurrant	кустарник семейства крыжовниковых (Ribes rubrum) с мелкими красными ягодами	a shrub of the gooseberry family (Ribes rubrum) bearing small red berries
