ID категории	Название на русском языке	Название на английском языке
A11	Небо; небесные тела	Sky; celestial bodies
A12	Погода; ветер; состояние атмосферы	Weather; wind; atmosphere
A21	Воды; моря, реки	Waters; seas, rivers
A22	Рельеф местности; полезные ископаемые; вещества	Landforms; mineral resources; substances
A31	Растительный мир	Flora
A321	Древесные растения	Woody plants
A322	Лес, деревья	Forest; trees
A323	Фруктовые деревья; кусты со съедобными ягодам и плодами; ягоды	Fruit trees; shrubs with edible berries and fruits; berries
A33	Растения, употребляемые в пищу; злаки	Edible plants; cereals
A34	Огородные растения	Kitchen garden plants
A35	Растения и кустарники	Plants and shrubs
A36	Названия цвета	Colour names
A411	Домашние животные	Domestic animals
A412	Лесные, полевые животные	Forest and field animals
A42	Птицы	Birds
A43	Рыбы	Fish
A44	Насекомые, пресмыкающиеся, земноводные	Insects, reptiles, amphibians
B11	Человек: общие сведения	Human being: general
B12	Части тела, органы, их характеристики и функции	Body parts and organs: characteristics and functions
B15	Глаголы движения, действия	Verbs of motion and action
B16	Здоровье; болезни	Health; diseases
B17	Жизнь человека	Human life
B181	Потребности человека: пища, питье, табак	Human needs: food, drink, tobacco
B182	Одежда, туалет	Clothing; personal care
B21	Мысль; память	Thought; memory
B22	Чувства	Feelings; senses
B23	Мораль	Morality
B31	Человек за работой	People at work
B321	Сельское хозяйство: земля и работы, с ней связанные	Agriculture: land and related activities
B322	Жатва	Reaping; grain harvest
B323	Молотьба	Threshing
B324	Сенокос	Haymaking
B331	Скотный двор, скот	Farmyard; livestock
B332	Птичий двор, домашние птицы	Poultry yard; poultry
B333	Молочные продукты	Dairy products
B334	Пастбище	Pasture
B34	Другие занятия крестьянина	Other peasant occupations
B351	Ремесла, профессии; орудия труда	Crafts and trades; tools
B352	Хлеб	Bread
B353	Охота, рыбная ловля; продукты	Hunting and fishing; produce
B354	Деятельность, связанная с обработкой дерева	Woodworking
B355	Кузница	Forge; blacksmithing
B356	Ткани; обувь	Textiles; footwear
B36	Торговля; финансы; собственность	Trade; finance; property
B371	Жилище	Dwelling
B372	Строительство; надворные постройки	Construction; outbuildings
B373	Посуда, домашняя утварь	Dishes, housewares
B374	Отопление и освещение	Heating and lighting
B375	Общие работы по хозяйству	General household work
B376	Техника (бытовая, электроника)	Appliances (household, electronics)
B38	Дорога и транспорт; путешествия	Roads and transport; travel
B411	Общественная жизнь; брак	Social life; marriage
B412	Семья, родство	Family; kinship
B413	Мир детства	World of childhood
B42	Язык, общение	Language; communication
B43	Праздники; культура	Festivities; culture
B44	Литература и СМИ	Literature and mass media
B45	Игры и спорт	Games and sports
B51	Общественные организации, коммуны; общественная деятельность; политика	Public organizations; communities; civic activities; politics
B511	Обучение	Education; training
B52	Религия, отсутствие религии	Religion and irreligion
B53	Государство и право	State and law
C1	Априорность: число, количество	A priori concepts: number, quantity
C2	Пространство; пространственные отношения	Space; spatial relations
C3	Время; временные отношения	Time; temporal relations
