category_id	pos	concept_id	concept_ru	concept_en	definition_ru	definition_en
B331	NOUN	854	нетель			
B331	VERB	856	мычать			
B331	NOUN	858	копыто			
B331	NOUN	859	хвост			
B331	NOUN	862	овечья шкура			
B331	NOUN	863	шкура			
B331	NOUN	864	ягненок			
B331	NOUN	865	ярка			
B331	NOUN	866	овца (самка)			
B331	NOUN	868	шерсть			
B331	VERB	869	стричь (овец)			
B331	NOUN	870	свинья			
B331	NOUN	871	поросенок			
B332	VERB	872	курятник			
B332	NOUN	873	петух			
B332	VERB	874	петь (о петухе)			
B332	NOUN	875	курица			
B332	VERB	876	нестись, класть яйца (о птицах)			
B332	NOUN	878	зоб			
B332	NOUN	879	яйцо			
B333	NOUN	880	молоко			
B333	VERB	881	цедить (молоко)			
B333	ADJ	882	свежий			
B333	NOUN	883	запеченное молозиво			
B333	NOUN	884	сметана			
B333	VERB	885	сбивать (масло)			
B333	NOUN	886	масло			
B333	VERB	887	растопить (масло)			
B333	NOUN	888	творог			
B333	NOUN	889	сыворотка			
B334	NOUN	890	пастбище			
B334	NOUN	891	пастух			
B334	NOUN	893	плеть			
B34	NOUN	894	картофель			
B34	NOUN	896	пчела			
B34	NOUN	897	мед			
B34	NOUN	899	семя			
B34	NOUN	900	рассада			
B34	NOUN	901	лён			
B34	NOUN	903	конопля			
B34	VERB	904	мочить			
B34	NOUN	905	лыко			
B34	NOUN	906	чесалки для шерсти			
B34	NOUN	907	смола перегнанная			
B351	NOUN	909	молоток			
B351	NOUN	911	клин (деревянный)			
B351	NOUN	913	точило			
B351	NOUN	915	подмостки для вытаскивания лодки на берег			
B351	NOUN	916	топор			
B351	NOUN	917	пятка топора			
B351	NOUN	918	обух топора			
B351	NOUN	920	острие			
B351	ADJ	921	острый			
B351	NOUN	922	нож			
B351	NOUN	923	ножны			
B351	NOUN	925	сверло			
B351	NOUN	926	портной			
B351	NOUN	927	прялка			
B351	NOUN	928	метла			
B351	NOUN	929	лопата			
B351	NOUN	930	пешня			
B352	NOUN	931	хлеб			
B352	ADJ	932	мягкий (о хлебе)			
B352	NOUN	933	ломтик (хлеба)			
B352	NOUN	934	кусок (хлеба)			
B352	NOUN	935	крошка (хлеба)			
B352	NOUN	936	краюха (хлеба)			
B352	NOUN	937	каравай (круглый хлеб)			
B352	VERB	938	молоть			
B352	NOUN	939	мука			
B352	NOUN	942	закваска (для теста)			
B352	NOUN	944	тесто			
B352	NOUN	945	помело			
B352	VERB	946	печь, испечь			
B352	VERB	947	резать			
B353	NOUN	948	ружье			
B353	NOUN	949	лук (оружие)			
B353	NOUN	950	стрела			
B353	VERB	951	стрелять			
B353	VERB	952	попадать в цель			
B353	NOUN	953	лабаз			
B353	NOUN	954	силок (для птиц)			
B353	NOUN	955	ловушка			
B353	NOUN	956	ток пернатой дичи			
B353	VERB	958	ловить, промышлять рыбу			
B353	NOUN	959	крючок рыболовный			
B353	NOUN	961	леска			
B353	VERB	962	лучить рыбу			
B353	NOUN	964	острога			
B353	NOUN	965	сеть			
B353	NOUN	966	игла, иглица для вязания сетей			
B353	NOUN	967	планка для вязания сетей			
B353	NOUN	968	тетива сети			
B353	NOUN	969	поплавок			
B353	VERB	971	красить (сети)			
B353	NOUN	973	невод			
B353	NOUN	974	мотня невода			
B353	NOUN	976	тоня (заводь)			
B353	NOUN	977	мережа			
B353	NOUN	981	сушеная рыба, сущик			
B353	NOUN	982	кость (рыбья)			
B353	VERB	983	убивать			
B353	VERB	984	сдирать шкуру (с животных)			
B353	NOUN	985	мясо			
B353	NOUN	986	кость			
B353	NOUN	987	сало, жир			
B353	NOUN	988	шкварки			
B354	NOUN	990	колотушка (для колки дров)			
B354	VERB	991	тесать			
B354	NOUN	992	чурбак			
B354	VERB	993	щепать (лучину)			
B354	NOUN	994	щепка			
B354	NOUN	997	половица			
B354	NOUN	998	палка			
B354	NOUN	999	обруч (у бочки)			
B355	NOUN	1000	кузнец			
B355	NOUN	1001	наковальня			
B355	NOUN	1002	кузнечные мехи			
B355	VERB	1003	раздувать (горн)			
B355	VERB	1004	ковать (железо)			
B355	NOUN	1005	колесо			
B355	NOUN	1006	клещи			
B355	NOUN	1007	сталь			
B355	VERB	1008	калить			
B355	VERB	1009	паять			
B355	NOUN	1010	ржавчина (на металле)			
B355	NOUN	1011	крюк			
B356	VERB	1013	прясть			
B356	NOUN	1014	кудель			
B356	VERB	1016	мотать нитки на клубок			
B356	NOUN	1017	клубок			
B356	VERB	1018	мотать нитки на мотовило			
B356	VERB	1019	ткать			
B356	NOUN	1020	кросна, стан			
B356	VERB	1021	основать			
B356	NOUN	1022	основа ткани			
B356	NOUN	1024	конец нитчёнок			
B356	NOUN	1025	уток			
B356	NOUN	1026	челнок			
B356	NOUN	1028	узор			
B356	NOUN	1029	сукно			
B356	NOUN	1030	полотно			
B356	NOUN	1031	ширина полотна			
B356	NOUN	1032	лоскут			
B356	NOUN	1037	шило			
B356	NOUN	1038	колодка для обуви			
B356	NOUN	1040	каблук			
B356	NOUN	1041	подошва			
B356	NOUN	1042	лапти берестяные			
B356	NOUN	1043	оборы (у лаптей)			
B356	NOUN	1044	паголенки			
B36	VERB	1045	продавать			
B36	VERB	1046	торговать			
B36	NOUN	1048	магазин			
B36	NOUN	1049	товар			
B36	VERB	1050	покупать			
B36	VERB	1051	мерить			
B36	NOUN	1053	фунт			
B36	VERB	1055	считать			
B36	VERB	1056	платить			
B36	NOUN	1057	копейка			
B36	NOUN	1058	рубль			
B36	VERB	1062	менять			
B36	NOUN	1067	кошелек для денег			
B36	NOUN	1068	запас			
B371	NOUN	1074	изба, дом			
B371	NOUN	1077	хозяйство со всеми постройками, усадьба			
B371	NOUN	1079	колодец			
B371	NOUN	1080	сусек, закром			
B371	NOUN	1081	яма для хранения овощей			
B371	NOUN	1082	лавка			
B371	NOUN	1083	сор, мусор			
B372	VERB	1084	рубить, делать сруб			
B372	NOUN	1085	знак, метка			
B372	VERB	1086	строить (отделывать) дом			
B372	NOUN	1088	столб			
B372	VERB	1089	конопатить			
B372	NOUN	1090	конек крыши			
B372	NOUN	1091	этаж			
B372	NOUN	1092	угол дома (внутренний)			
B372	NOUN	1093	угол дома (внешний)			
B372	NOUN	1094	полог			
B372	NOUN	1095	подполье (в избе)			
B372	NOUN	1096	пол			
