wn_domain_category	count
acoustics	142
administration	1406
agriculture	305
anatomy	2555
animal_husbandry	73
animals	7182
anthropology	397
applied_science	35
archaeology	80
archery	5
architecture	221
art	784
artisanship	153
astrology	28
astronautics	34
astronomy	456
athletics	26
atomic_physic	100
aviation	186
badminton	8
banking	125
baseball	182
basketball	53
betting	50
biochemistry	13
biology	12265
body_care	206
book_keeping	28
bowling	35
boxing	74
buildings	1870
card	157
chemistry	4917
chess	40
cinema	45
color	297
commerce	703
computer_science	570
cricket	25
cycling	12
dance	161
dentistry	28
diplomacy	44
diving	18
drawing	106
earth	76
economy	1314
electricity	205
electronics	260
electrotechnology	94
engineering	50
enterprise	339
entomology	621
environment	28
ethnology	41
exchange	245
factotum	40995
fashion	1056
fencing	9
finance	125
fishing	68
folklore	34
food	1057
football	79
free_time	217
furniture	420
gas	6
gastronomy	2182
genetics	43
geography	4243
geology	1053
geometry	227
golf	113
grammar	248
graphic_arts	64
health	77
heraldry	188
history	1193
hockey	24
home	137
humanities	53
hunting	163
hydraulics	86
industry	1053
insurance	75
jewellery	122
law	1628
linguistics	1613
literature	1332
mathematics	747
mechanics	544
medicine	3247
meteorology	253
metrology	1464
military	1668
money	718
mountaineering	24
music	1454
mythology	397
nautical	766
number	156
numismatics	48
occultism	38
oceanography	11
optics	220
painting	255
paleontology	3
paranormal	15
pedagogy	298
person	2501
pharmacy	713
philately	7
philology	59
philosophy	438
photography	175
physics	1151
physiology	783
plants	8745
plastic_arts	12
play	566
politics	1441
post	73
psychiatry	128
psychoanalysis	59
psychological_features	1342
psychology	540
publishing	565
pure_science	55
quality	825
racing	203
radio+tv	104
radiology	45
railway	63
religion	1704
roman_catholic	26
rowing	8
rugby	5
school	450
sculpture	34
sexuality	284
skating	25
skiing	31
soccer	14
social_science	12
sociology	829
sport	713
statistics	19
sub	1
surgery	34
swimming	60
table_tennis	26
tax	100
telecommunication	506
telegraphy	11
telephony	60
tennis	64
theatre	324
theology	66
time_period	727
topography	5
tourism	506
town_planning	507
transport	1240
university	167
vehicles	97
veterinary	1
volleyball	4
wrestling	35
