id,meaning_id,lemma_id,lemma,lang,pos,meaning_ru,meaning_en,concept_id,category_id
1,89725,76818,Agd’e,lud,PROPN,Агде,,,
2,78116,66728,Agrofena,lud,PROPN,"Агриппина, Аграфена",,,
3,77161,65849,Agveh,lud,PROPN,Яковлевская,,,
4,90781,77869,Ahpuoiselge,lud,PROPN,Афанасьева Сельга,,,
5,89540,76642,Ala-Viidana,lud,PROPN,Нижние Виданы,,,
6,89538,76640,Ala-Šuoju,lud,PROPN,Нижняя Шуя,,,
7,77324,66000,Alakylä,lud,PROPN,Нижняя деревня,,,
8,77309,65985,Alavoine,lud,PROPN,пос. Ильинский,,,
9,74706,63759,Anapka,lud,PROPN,Анапка (кличка),,,
10,78040,66658,Anna,lud,PROPN,Анна,,,
11,90307,77382,Anni,lud,PROPN,"Анна, Аня",,,
12,34402,29586,Anus,lud,PROPN,Олонец,,,
13,78498,67070,Arhangel’sk,lud,PROPN,Архангельск,,,
14,90175,77253,Ar’hippe,lud,PROPN,Архип,,,
15,91018,78110,Ar’t’uoi,lud,PROPN,Артём,,,
16,78080,66694,Aša,lud,PROPN,Аня,,,
17,78106,66720,Ašein’ka,lud,PROPN,Ашенька,,,
18,90687,77777,Barancov,lud,PROPN,Баранцев,,,
19,74330,63406,Barduoiniemi,lud,PROPN,Бородиннаволок (деревня),,,
20,78544,67110,Bohatteri,lud,PROPN,Бохаттери (фамилия жителя Пелдожи),,,
21,90171,77249,Borancev,lud,PROPN,Баранцев,,,
22,90173,77251,Borancou,lud,PROPN,Баранцев,,,
23,90163,77241,Borančikke,lud,PROPN,Баранчик (прозвище жителей с фамилией Баранцевых),,,
24,74707,63760,Brus’a,lud,PROPN,Бруся (кличка),,,
25,77829,66465,Deššu,lud,PROPN,Верхняя ламба,,,
26,77836,66472,Dimjoi,lud,PROPN,Демьян,,,
27,77826,66462,Duuhanpäive,lud,PROPN,Духов день,,,
28,77813,66449,Dyrkänmägi,lud,PROPN,Юркостров,,,
29,78678,67222,D’akku,lud,PROPN,Дякку,,,
30,90695,77786,D’ekku,lud,PROPN,"Декку, Ефим",,,
31,90950,78036,D’el’a,lud,PROPN,"Деля, Елена",,,
32,90943,78029,D’ermolajov,lud,PROPN,Ермолаев (фамилия),,,
33,78170,66770,D’essoil,lud,PROPN,Эссойла,,,
