id,meaning_id,lemma_id,lemma,lang,pos,meaning_ru,meaning_en,concept_id,category_id
1,4494,4368,-bo,olo,PART,вот; же,,,
2,5316,5101,-gi,olo,PART,и,also,,
3,62056,5101,-gi,olo,PART,также,also,,
4,5352,5131,-go,olo,PART,ли,,,
5,76088,5131,-go,olo,PART,ни,no,,
6,83106,5131,-go,olo,PART,и,also,,
7,87061,74368,-h,olo,PART,притяжательная частица 3 л. ед. ч.,,,
8,62879,54841,-häi,olo,PART,"ведь, же",,,
9,82077,70051,-liene,olo,PART,-то,,,
10,14590,13148,-rašku,olo,NOUN,негодник; о чём-л. негодном,,,
11,67139,57833,-reunaine,olo,ADJ,"c ... краями, с ... краем",,,
12,67257,57927,-riävylline,olo,ADJ,в ... ряда (рядов),,,
13,16349,14767,-rukku,olo,NOUN,"бедняга, бедняжка",,,
14,19262,17352,-tahto,olo,PART,"(кто, что, как, где, куда, какой) -нибудь, -либо",,,
15,68274,17352,-tahto,olo,PART,"(кто, что, как, где, куда, какой) -угодно",,,
16,2967,3012,Aazii,olo,PROPN,Азия,Asia,,
17,3016,3058,Adamantiähtet,olo,PROPN,Большая Медведица,,,
18,3028,3070,Afganistuanu,olo,PROPN,Афганистан,,,
19,3033,3075,Afriekku,olo,PROPN,Африка,,,
20,74573,63630,Akim,olo,PROPN,Аким,,,
21,81960,69949,Alavoine,olo,PROPN,Ильинский (посёлок в Олонецком национальном районе Карелии),,,
22,77128,65816,Aleksandru,olo,PROPN,Александр,,,
23,3483,3456,Amierikku,olo,PROPN,Америка,America (continent),,
24,77135,65823,Amos,olo,PROPN,Амос,,,
25,3599,3568,Anglii,olo,PROPN,Англия,England,,
26,3622,3590,Anuksenlinnu,olo,PROPN,Олонец,,,
27,76554,65335,Anus,olo,PROPN,Олонец,,,
28,3652,3617,Argentiinu,olo,PROPN,Аргентина,,,
29,3672,3636,Arktiekku,olo,PROPN,Арктика,,,
30,3685,3648,Armienii,olo,PROPN,Армения,Armenia,,
31,77131,65819,Avraam,olo,PROPN,Авраам,,,
32,92198,79255,Avruam,olo,PROPN,Авраам,,,
33,3891,3821,Avstrii,olo,PROPN,Австрия,Austria,,
34,3892,3822,Avstrualii,olo,PROPN,Австралия,Australia,,
35,3819,3763,Azerbaidžuanu,olo,PROPN,Азербайджан,,,
36,13537,12222,Baltiekan pohjus,olo,PHRASE,Балтийский щит (часть суши),,,
37,3733,3687,Beloruussii,olo,PROPN,Белоруссия,,,
38,3731,3685,Bel’gii,olo,PROPN,Бельгия,Belgium,,
39,3748,3700,Biblii,olo,PROPN,Библия,Bible,,
40,4285,4170,Bolguarii,olo,PROPN,Болгария,Bulgaria,,
41,4297,4182,Braziilii,olo,PROPN,Бразилия,Brazil,,
42,4499,4373,Brituanii,olo,PROPN,Британия,Britain,,
43,4435,4313,Duanii,olo,PROPN,Дания,Denmark,,
44,81802,69844,Dugan,olo,PROPN,Дюганов,,,
45,81952,69942,D’eukul,olo,PROPN,Пенгисельга,,,
46,61893,54162,Emänpäivy,olo,PROPN,день Богородицы,,,
47,5163,4961,Estounii,olo,PROPN,Эстония,Estonia,,
48,62024,54244,Francii,olo,PROPN,Франция,France,,
49,12903,11665,Fransii,olo,PROPN,Франция,France,,
50,92199,79256,Galilea,olo,PROPN,Галилея,,,
51,92197,79254,Galileja,olo,PROPN,Галилея,,,
52,5315,5100,Germuanii,olo,PROPN,Германия,Germany,,
53,5359,5137,Gollandii,olo,PROPN,Голландия,,,
54,77395,66068,Gora,olo,PROPN,Гора,,,
55,5392,5169,Griekanmua,olo,PROPN,Греция,Greece,,
